,Demand,Lost Load,Curtailment,Genset production,Diesel consumption
2017-01-01 00:32:00,68305.28800000006,0.0,0.0,68305.28800000006,23.138647696476983
2017-01-01 00:33:00,63290.28500000005,0.0,0.0,63290.28500000005,21.439798441734432
2017-01-01 00:34:00,61855.28200000005,0.0,0.0,61855.28200000005,20.95368631436316
2017-01-01 00:35:00,58140.28700000005,0.0,0.0,58140.28700000005,19.69521917344175
2017-01-01 00:36:00,58775.28600000005,0.0,0.0,58775.28600000005,19.910327235772375
2017-01-01 00:37:00,56940.27800000004,0.0,0.0,56940.27800000004,19.28871205962061
2017-01-01 00:38:00,55035.27800000004,0.0,0.0,55035.27800000004,18.64338685636858
2017-01-01 00:39:00,50725.279000000046,0.0,0.0,50725.279000000046,17.183360094850965
2017-01-01 00:40:00,49265.277000000046,0.0,0.0,49265.277000000046,16.68877947154473
2017-01-01 00:41:00,49000.28300000005,0.0,0.0,49000.28300000005,16.59901185636858
2017-01-01 00:42:00,51125.28600000005,0.0,0.0,51125.28600000005,17.31886382113823
2017-01-01 00:43:00,51190.27500000005,0.0,0.0,51190.27500000005,17.340879065040667
2017-01-01 00:44:00,52760.27700000004,0.0,0.0,52760.27700000004,17.87272256097562
2017-01-01 00:45:00,53220.284000000036,0.0,0.0,53220.284000000036,18.028551490514918
2017-01-01 00:46:00,52270.28300000004,0.0,0.0,52270.28300000004,17.70673543360435
2017-01-01 00:47:00,52145.28300000005,0.0,0.0,52145.28300000005,17.664391260162617
2017-01-01 00:48:00,52955.28700000005,0.0,0.0,52955.28700000005,17.938782859078607
2017-01-01 00:49:00,53415.29200000005,0.0,0.0,53415.29200000005,18.094611111111128
2017-01-01 00:50:00,55315.28800000005,0.0,0.0,55315.28800000005,18.73824119241194
2017-01-01 00:51:00,56725.28900000005,0.0,0.0,56725.28900000005,19.215883807588092
2017-01-01 00:52:00,54600.28600000005,0.0,0.0,54600.28600000005,18.496031842818446
2017-01-01 00:53:00,54350.29000000005,0.0,0.0,54350.29000000005,18.411344850948527
2017-01-01 00:54:00,53065.28500000005,0.0,0.0,53065.28500000005,17.976045054200558
2017-01-01 00:55:00,52530.28700000005,0.0,0.0,52530.28700000005,17.79481266937671
2017-01-01 00:56:00,51370.28800000005,0.0,0.0,51370.28800000005,17.401859078590803
2017-01-01 00:57:00,50125.28800000005,0.0,0.0,50125.28800000005,16.98011111111113
2017-01-01 00:58:00,47965.28800000005,0.0,0.0,47965.28800000005,16.24840379403796
2017-01-01 00:59:00,48250.28500000005,0.0,0.0,48250.28500000005,16.344947493224947
2017-01-01 01:00:00,49155.28300000005,0.0,0.0,49155.28300000005,16.651518631436332
2017-01-01 01:01:00,48955.28600000005,0.0,0.0,48955.28600000005,16.58376897018972
2017-01-01 01:02:00,48660.28500000004,0.0,0.0,48660.28500000004,16.483836382113836
2017-01-01 01:03:00,50995.28800000005,0.0,0.0,50995.28800000005,17.2748265582656
2017-01-01 01:04:00,51745.29700000005,0.0,0.0,51745.29700000005,17.528894647696493
2017-01-01 01:05:00,49740.30000000005,0.0,0.0,49740.30000000005,16.849695121951235
2017-01-01 01:06:00,50430.301000000036,0.0,0.0,50430.301000000036,17.083435298102994
2017-01-01 01:07:00,49255.30500000005,0.0,0.0,49255.30500000005,16.685401422764244
2017-01-01 01:08:00,48490.30300000005,0.0,0.0,48490.30300000005,16.426254403794054
2017-01-01 01:09:00,46975.30500000005,0.0,0.0,46975.30500000005,15.913043699187009
2017-01-01 01:10:00,48195.30500000005,0.0,0.0,48195.30500000005,16.326322831978338
2017-01-01 01:11:00,47630.30700000005,0.0,0.0,47630.30700000005,16.134927845528473
2017-01-01 01:12:00,48625.30500000005,0.0,0.0,48625.30500000005,16.471986788617905
2017-01-01 01:13:00,48640.30300000005,0.0,0.0,48640.30300000005,16.477067411924136
2017-01-01 01:14:00,49975.30300000005,0.0,0.0,49975.30300000005,16.92930318428186
2017-01-01 01:15:00,50100.301000000036,0.0,0.0,50100.301000000036,16.971646680216814
2017-01-01 01:16:00,47960.30000000005,0.0,0.0,47960.30000000005,16.246714092140937
2017-01-01 01:17:00,48815.301000000036,0.0,0.0,48815.301000000036,16.536348577235785
2017-01-01 01:18:00,50980.301000000036,0.0,0.0,50980.301000000036,17.269749661246625
2017-01-01 01:19:00,51150.30400000004,0.0,0.0,51150.30400000004,17.327338753387547
2017-01-01 01:20:00,50585.30800000005,0.0,0.0,50585.30800000005,17.135944444444462
2017-01-01 01:21:00,52005.313000000046,0.0,0.0,52005.313000000046,17.616975948509502
2017-01-01 01:22:00,51710.313000000046,0.0,0.0,51710.313000000046,17.517043699187006
2017-01-01 01:23:00,50275.313000000046,0.0,0.0,50275.313000000046,17.030932588075895
2017-01-01 01:24:00,50270.315000000046,0.0,0.0,50270.315000000046,17.029239498645
2017-01-01 01:25:00,52090.31400000004,0.0,0.0,52090.31400000004,17.645770325203266
2017-01-01 01:26:00,52415.31000000004,0.0,0.0,52415.31000000004,17.755863821138224
2017-01-01 01:27:00,50890.315000000046,0.0,0.0,50890.315000000046,17.239266598916004
2017-01-01 01:28:00,48870.32200000005,0.0,0.0,48870.32200000005,16.55498712737129
2017-01-01 01:29:00,50540.31800000005,0.0,0.0,50540.31800000005,17.120703929539314
2017-01-01 01:30:00,49715.31900000005,0.0,0.0,49715.31900000005,16.841232723577253
2017-01-01 01:31:00,49845.32300000006,0.0,0.0,49845.32300000006,16.88527201897021
2017-01-01 01:32:00,50510.32200000005,0.0,0.0,50510.32200000005,17.110542682926848
2017-01-01 01:33:00,51640.32500000005,0.0,0.0,51640.32500000005,17.493335027100287
2017-01-01 01:34:00,53910.334000000046,0.0,0.0,53910.334000000046,18.26230826558267
2017-01-01 01:35:00,53375.33100000006,0.0,0.0,53375.33100000006,18.081074186991888
2017-01-01 01:36:00,54010.332000000046,0.0,0.0,54010.332000000046,18.296182926829285
2017-01-01 01:37:00,55995.32900000005,0.0,0.0,55995.32900000005,18.968607384823866
2017-01-01 01:38:00,56495.330000000045,0.0,0.0,56495.330000000045,19.13798441734419
2017-01-01 01:39:00,54875.33500000006,0.0,0.0,54875.33500000006,18.589205623306253
