,T_groundwater
132,11.90202169219651
133,11.864959434417953
134,11.828521698796543
135,11.792719282619728
136,11.757562794916105
137,11.723062653311718
138,11.6892290809431
139,11.656072103427931
140,11.623601545894235
141,11.591827030068982
142,11.56075797142696
143,11.53040357640077
144,11.500772839652761
145,11.471874541409715
146,11.443717244861077
147,11.416309293621497
148,11.389658809258442
149,11.36377368888559
150,11.33866160282276
151,11.31432999232301
152,11.290786067367653
153,11.268036804529773
154,11.246088944906916
155,11.224948992123563
156,11.204623210403962
157,11.185117622715902
158,11.16643800898598
159,11.148589904386883
160,11.1315785976972
161,11.115409129734232
162,11.100086291860308
163,11.085614624562979
164,11.071998416109592
165,11.059241701276573
166,11.04734826015384
167,11.03632161702468
168,11.026165039321423
169,11.016881536657243
170,11.008473859934332
171,11.000944500528757
172,10.994295689552203
173,10.988529397190861
174,10.9836473321216
175,10.979650941005668
176,10.976541408059997
177,10.97431965470631
178,10.972986339298075
179,10.972541856925424
180,10.972986339298075
181,10.97431965470631
182,10.976541408059997
183,10.979650941005668
184,10.9836473321216
185,10.988529397190861
186,10.994295689552203
187,11.000944500528757
188,11.008473859934332
189,11.016881536657243
190,11.026165039321423
191,11.03632161702468
192,11.04734826015384
193,11.059241701276573
194,11.071998416109592
195,11.085614624562979
196,11.100086291860308
197,11.115409129734232
198,11.1315785976972
199,11.148589904386883
200,11.16643800898598
201,11.185117622715902
202,11.204623210403962
203,11.224948992123563
204,11.246088944906916
205,11.268036804529773
206,11.290786067367653
207,11.31432999232301
208,11.33866160282276
209,11.36377368888559
210,11.389658809258442
211,11.416309293621497
212,11.443717244861077
213,11.471874541409715
214,11.500772839652761
215,11.53040357640077
216,11.56075797142696
217,11.591827030068982
218,11.623601545894235
219,11.656072103427931
220,11.6892290809431
221,11.723062653311718
222,11.757562794916105
223,11.792719282619728
224,11.828521698796543
225,11.864959434417953
226,11.90202169219651
227,11.939697489785358
228,11.977975663032565
229,12.016844869289287
230,12.056293590770842
231,12.096310137969684
232,12.136882653119251
233,12.177999113707674
234,12.21964733604032
235,12.261814978850063
236,12.30448954695429
237,12.347658394957481
238,12.391308730998308
239,12.435427620540153
240,12.480001990203883
241,12.52501863164177
242,12.570464205451419
243,12.616325245128511
244,12.662588161057233
245,12.709239244537155
246,12.756264671845432
247,12.80365050833306
248,12.851382712554017
249,12.899447140426048
250,12.947829549421858
251,12.996515602789483
252,13.045490873800581
253,13.094740850025378
254,13.144250937633018
255,13.194006465716026
256,13.243992690637617
257,13.29419480040056
258,13.344597919036278
259,13.395187111012934
260,13.44594738566114
261,13.49686370161602
262,13.547920971274294
263,13.599104065265056
264,13.650397816932935
265,13.701787026832301
266,13.753256467231191
267,13.804790886623614
268,13.8563750142489
269,13.907993564616758
270,13.959631242036691
271,14.011272745150452
272,14.062902771466149
273,14.11450602189272
274,14.166067205273373
275,14.217571042916692
276,14.269002273124038
277,14.320345655711925
278,14.371585976528012
279,14.422708051959383
280,14.473696733431781
281,14.524536911898464
282,14.57521352231733
283,14.625711548115019
284,14.676016025636653
285,14.726112048579882
286,14.775984772411947
287,14.825619418768435
288,14.875001279832427
289,14.924115722692742
290,14.972948193679985
291,15.02148422267911
292,15.069709427417232
293,15.1176095177254
294,15.165170299773092
295,15.212377680274136
296,15.259217670662874
297,15.305676391239263
298,15.351740075281736
299,15.397395073126575
300,15.442627856212603
301,15.487425021089987
302,15.531773293391971
303,15.57565953176836
304,15.619070731779582
305,15.661994029750181
306,15.704416706580606
307,15.74632619151616
308,15.787710065871972
309,15.828556066712935
310,15.86885209048747
311,15.908586196614074
312,15.947746611019571
313,15.986321729628019
314,16.024300121799257
315,16.06167053371604
316,16.098421891718804
317,16.13454330558701
318,16.17002407176616
