,Demand,Lost Load,SC production,Boiler production,Tank Outflow,Curtailment,Resistance Energy,Tank SoC,NG consumption
2011-01-01 12:09:00,190.9,0.0,7.030101089512165e-05,1.2800121142520345e-05,190.9000116996058,2.4499726947624367e-05,190.90054507681685,0.008600088139368772,1.1231132001860441e-06
2011-01-01 12:10:00,190.9,0.0,6.561427683544687e-05,1.283621285217928e-05,190.90001201854804,2.4854760880543836e-05,190.89894115759742,0.0075088405841801775,1.1262799729910748e-06
2011-01-01 12:11:00,190.9,0.0,6.561427683544687e-05,1.2861878027825682e-05,190.9000119640151,2.482589312080563e-05,190.89979490967087,0.007282312164720323,1.1285318967996562e-06
2011-01-01 12:12:00,190.9,0.0,6.561427683544687e-05,1.2858152221571968e-05,190.90001195883974,2.4816991953002798e-05,190.90004710372017,0.007310248200342002,1.1282049856604342e-06
2011-01-01 12:13:00,185.3,0.0,6.561427683544687e-05,1.2848576529526332e-05,185.30001203961706,2.4888193564720495e-05,185.30050870928778,0.007799429665887869,1.127364791570267e-06
2011-01-01 12:14:00,168.6,0.0,6.561427683544687e-05,1.2830754069521449e-05,168.60001248367192,2.5314425982969624e-05,168.5994686793859,0.007243245360044682,1.1258010063632051e-06
2011-01-01 12:15:00,168.6,0.0,6.561427683544687e-05,1.2787200528240983e-05,168.60001269987367,2.5487074196917092e-05,168.59996578256585,0.0071895098607100034,1.121979514630252e-06
2011-01-01 12:16:00,168.6,0.0,6.561427683544687e-05,1.2736476578500955e-05,168.6000128457773,2.5582253869060878e-05,168.60009742050013,0.007267803761764852,1.1175288741336277e-06
2011-01-01 12:17:00,178.0,0.0,6.561427683544687e-05,1.2693796201187699e-05,178.0000129823164,2.5676112613837176e-05,178.0008471128237,0.008094870508273816,1.113783995892577e-06
2011-01-01 12:18:00,168.6,0.0,6.561427683544687e-05,1.2693595025756405e-05,168.6000134117221,2.610531714708486e-05,168.59946577499855,0.0075318993564655445,1.1137663442797582e-06
2011-01-01 12:19:00,176.6,0.0,6.561427683544687e-05,1.2699708996692378e-05,176.6000134871982,2.6186907206238175e-05,176.59994639768203,0.007455105137353688,1.1143027986919696e-06
2011-01-01 12:20:00,179.3,0.0,7.030101089512165e-05,1.2710568555624759e-05,179.3000133307999,2.604136847139671e-05,179.30009292544565,0.0075304497426320486,1.1152556423291006e-06
2011-01-01 12:21:00,188.2,0.0,7.030101089512165e-05,1.2717179615512819e-05,188.20001338200518,2.6099184822214738e-05,188.2010775668602,0.008589631111107804,1.1158357125131892e-06
2011-01-01 12:22:00,188.2,0.0,7.030101089512165e-05,1.276480772023888e-05,188.20001364798642,2.6412794142061102e-05,188.1993166516181,0.007877039442563358,1.1200147161743337e-06
2011-01-01 12:23:00,188.2,0.0,7.030101089512165e-05,1.2847865597927856e-05,188.20001349408219,2.6341947801711285e-05,188.1998374142964,0.0076924902526234054,1.1273024127338647e-06
2011-01-01 12:24:00,171.6,0.0,7.030101089512165e-05,1.2966777246972374e-05,171.60001320713872,2.617391595549634e-05,171.60006244502299,0.007735104245228262,1.1377360048234074e-06
2011-01-01 12:25:00,171.6,0.0,7.030101089512165e-05,1.3068080377818256e-05,171.60001296408254,2.6032162907085876e-05,171.60042923088574,0.008144321016870792,1.1466245834709358e-06
2011-01-01 12:26:00,180.6,0.0,7.030101089512165e-05,1.3083884122743736e-05,180.60001307151782,2.6155401940286538e-05,180.5990299966657,0.007150103965487773,1.148011241795537e-06
2011-01-01 12:27:00,180.6,0.0,7.030101089512165e-05,1.3000032176938866e-05,180.60001303834892,2.6038381093940188e-05,180.60008167635917,0.007217541960472294,1.1406538718030065e-06
2011-01-01 12:28:00,180.6,0.0,7.030101089512165e-05,1.2967570134928295e-05,180.6000129201862,2.588775635103957e-05,180.60011594003007,0.007318687395639221,1.137805574706352e-06
2011-01-01 12:29:00,180.6,0.0,7.030101089512165e-05,1.2953743146616845e-05,180.6000127825259,2.573626906610116e-05,180.6007039675835,0.008006986590166576,1.1365923617282482e-06
2011-01-01 12:30:00,180.6,0.0,7.498774495479644e-05,1.297689181296326e-05,180.6000128031503,2.5780042108181078e-05,180.59940186186816,0.007390963187094484,1.1386234810005492e-06
2011-01-01 12:31:00,180.6,0.0,7.498774495479644e-05,1.3011494458629641e-05,180.6000125843985,2.559589296424747e-05,180.59994784709014,0.0073273040039647085,1.1416595997744705e-06
2011-01-01 12:32:00,180.6,0.0,7.498774495479644e-05,1.3044573324331836e-05,180.60001233818528,2.5382758622072288e-05,180.60008815352467,0.007404834048301235,1.1445620184550177e-06
2011-01-01 12:33:00,180.6,0.0,7.498774495479644e-05,1.3093012556888572e-05,180.60001208422074,2.5177233311524105e-05,180.600697415538,0.008091104770025476,1.1488121924092807e-06
2011-01-01 12:34:00,166.2,0.0,7.498774495479644e-05,1.317955915693922e-05,166.20001184605394,2.5025613098250687e-05,166.19932396467271,0.007397300086057384,1.1564059978011071e-06
2011-01-01 12:35:00,166.2,0.0,7.498774495479644e-05,1.3228068915487875e-05,166.20001167577067,2.4903839602075095e-05,166.19992809952223,0.0073147386134872604,1.160662359874342e-06
2011-01-01 12:36:00,166.2,0.0,7.498774495479644e-05,1.3253116297917982e-05,166.2000115122168,2.4765333108689447e-05,166.20006692518356,0.007371991939080625,1.1628600770306205e-06
2011-01-01 12:37:00,166.2,0.0,7.498774495479644e-05,1.3276436745172525e-05,166.20001142368935,2.4700126090237973e-05,166.20063491098128,0.007996747056567943,1.1649062687700732e-06
2011-01-01 12:38:00,166.2,0.0,7.498774495479644e-05,1.330467773285739e-05,166.20001165785882,2.4962536571138116e-05,166.1993770565554,0.007357166027520406,1.1673842004788444e-06
2011-01-01 12:39:00,172.3,0.0,7.498774495479644e-05,1.3325979176453473e-05,172.3000117336739,2.5059653069092747e-05,172.29995472094174,0.007301569383499863,1.169253240015221e-06
2011-01-01 12:40:00,185.1,0.0,7.498774495479644e-05,1.3357093907921425e-05,185.1000118119416,2.5169035524186256e-05,185.10004448823176,0.007336217724755524,1.1719833208670198e-06
2011-01-01 12:41:00,170.1,0.0,7.498774495479644e-05,1.3388277794645361e-05,170.10001174181457,2.513009238214181e-05,170.10064384901986,0.00796995049776883,1.1747194695661456e-06
2011-01-01 12:42:00,170.1,0.0,7.498774495479644e-05,1.3420524116932299e-05,170.10001214423127,2.5564755389950733e-05,170.0993816551334,0.007334749639897836,1.1775488388990347e-06
