,Demand,Lost Load,RES production,Bat Inflow,Bat Outflow,Curtailment,Genset production,Bat SoC,Diesel consumption
2011-01-01 19:15:00,144.2,0.0,0.0,0.0002582789278162646,563.3010756834263,3.3607984385895855e-05,5.3156605560384505e-08,339744.1866219739,1.8006980203382286e-08
2011-01-01 19:16:00,144.1,0.0,0.0,0.0002586277095168524,571.0010494906842,3.3688857662114824e-05,6.037860292585103e-08,339143.1331313287,2.0453456275694793e-08
2011-01-01 19:17:00,140.7,0.0,0.0,0.0002569236318727625,627.1024744725089,3.370655636040902e-05,6.611397844318435e-08,338483.0255075403,2.2396334160970308e-08
2011-01-01 19:18:00,141.6,0.0,0.0,0.00025737080052673587,640.7998908353347,3.365351139329157e-05,6.499769134841515e-08,337808.4995511633,2.201818812615689e-08
2011-01-01 19:19:00,140.5,0.0,0.0,0.00025700148328685387,626.2011683419892,3.3726250389227095e-05,7.013508296953548e-08,337149.3406707442,2.3758496940899553e-08
2011-01-01 19:20:00,139.8,0.0,0.0,0.0002617896077854488,664.401249573173,3.36057709457033e-05,5.963196615779604e-08,336449.97118305153,2.0200530541258824e-08
2011-01-01 19:21:00,134.5,0.0,0.0,0.00026261026411675704,680.8012786315333,3.368832637378987e-05,6.559031889524086e-08,335733.3385076238,2.2218942715189993e-08
2011-01-01 19:22:00,135.4,0.0,0.0,0.0002607684399107586,723.6027521074577,3.370164412968743e-05,7.085324865338433e-08,334971.6516478723,2.4001777999113935e-08
2011-01-01 19:23:00,135.9,0.0,0.0,0.00026115919458150755,756.7000514236022,3.3648222870404146e-05,6.965926787205863e-08,334175.12552605395,2.3597312964789512e-08
2011-01-01 19:24:00,136.4,0.0,0.0,0.0002609082752798248,797.0015652837703,3.371977746573892e-05,7.452664212822444e-08,333336.1767578287,2.5246152482460857e-08
2011-01-01 19:25:00,139.6,0.0,0.0,0.00026532254940301106,789.4016511665969,3.3599844038922204e-05,6.704336761238897e-08,332505.2279033939,2.271116789037567e-08
2011-01-01 19:26:00,143.4,0.0,0.0,0.0002657720026828566,848.1018713744653,3.367658075188153e-05,7.409345965349243e-08,331612.4893438839,2.5099410451725076e-08
2011-01-01 19:27:00,145.7,0.0,0.0,0.0002639787694232497,828.4037214604617,3.368871656007703e-05,7.807246461614214e-08,330740.4856773369,2.644731186183677e-08
2011-01-01 19:28:00,147.5,0.0,0.0,0.00026434424513857406,807.7014116404099,3.3636533387064335e-05,7.690137149700553e-08,329890.2739162109,2.605060010061163e-08
2011-01-01 19:29:00,147.9,0.0,0.0,0.00026429105406203246,821.4047050142739,3.370367346799657e-05,8.059771683082825e-08,329025.6376356934,2.730274960393911e-08
2011-01-01 19:30:00,146.1,0.0,0.0,0.0002683104964906367,835.2856135801815,3.358104964610247e-05,7.72872079440258e-08,328146.3898762934,2.618130350407378e-08
2011-01-01 19:31:00,149.4,0.0,0.0,0.00026869949268474354,896.1002016431015,3.365306760440806e-05,8.258986452208393e-08,327203.12676143466,2.797759638281976e-08
2011-01-01 19:32:00,149.2,0.0,0.0,0.0002666997271468753,905.303469368415,3.366500190391191e-05,8.432270301666205e-08,326250.1759944116,2.85646012929072e-08
2011-01-01 19:33:00,148.7,0.0,0.0,0.000267111151467209,1026.2983703529367,3.36075328053239e-05,8.290189754643671e-08,325169.8621741115,2.8083298626841706e-08
2011-01-01 19:34:00,148.8,0.0,0.0,0.0002666386973256777,1053.000710581428,3.3678644340636204e-05,8.522994017938233e-08,324061.44062680623,2.8871930955075318e-08
2011-01-01 19:35:00,147.5,0.0,0.0,0.0002705157333307874,1151.9988467428216,3.3579142520343276e-05,8.35437066279471e-08,322848.8105188038,2.8300713627353355e-08
2011-01-01 19:36:00,148.1,0.0,0.0,0.00027200476542097504,1102.001552605545,3.365018759279807e-05,8.46694412076999e-08,321688.8091428645,2.868206002970864e-08
2011-01-01 19:37:00,151.4,0.0,0.0,0.0002700883563026184,1107.5029306597712,3.366099065129298e-05,8.604740610813976e-08,320523.01684085914,2.9148850307635422e-08
2011-01-01 19:38:00,152.2,0.0,0.0,0.00027023253557881786,1097.3997433885731,3.361163983779479e-05,8.514639855493131e-08,319367.8594729605,2.884363094679245e-08
2011-01-01 19:39:00,148.0,0.0,0.0,0.00027036275525783166,1165.5012290533632,3.368161834974353e-05,8.647283980872311e-08,318141.0163308016,2.9292967414879102e-08
2011-01-01 19:40:00,150.9,0.0,0.0,0.0002738046556102153,1156.6012212769645,3.3569543748236666e-05,8.475859915173608e-08,316923.5416211508,2.871226258527645e-08
2011-01-01 19:41:00,152.2,0.0,0.0,0.0002746421044658668,1186.4012214255138,3.3646623143748796e-05,8.714949394641389e-08,315674.69849107385,2.952218629621067e-08
2011-01-01 19:42:00,153.9,0.0,0.0,0.000272462718745467,1286.8027454171572,3.3650484916257855e-05,8.835713354202158e-08,314320.1695442112,2.993127830014281e-08
2011-01-01 19:43:00,156.1,0.0,0.0,0.00027213624900908253,1303.6996848373105,3.3597846741742196e-05,8.780049100236366e-08,312947.8543450171,2.974271375418823e-08
2011-01-01 19:44:00,156.5,0.0,0.0,0.0002720325932629381,1314.8010907808534,3.366442629856052e-05,8.958059668244373e-08,311563.8534552577,3.034573058348365e-08
2011-01-01 19:45:00,155.7,0.0,0.0,0.00027598855262623515,1434.2011945187542,3.3562605248107954e-05,8.989330012854998e-08,310054.16824953235,3.0451659935145656e-08
2011-01-01 19:46:00,154.0,0.0,0.0,0.0002765571086506503,1582.2013837332586,3.363597011765343e-05,9.141127146542385e-08,308388.6933715204,3.096587786769101e-08
2011-01-01 19:47:00,149.1,0.0,0.0,0.00027496299224525657,1551.802695071463,3.3644208359259315e-05,8.970009578125977e-08,306755.2171116074,3.0386211308014825e-08
2011-01-01 19:48:00,150.1,0.0,0.0,0.00027444089763754495,1480.5998093574178,3.3592146566676784e-05,8.891243125322685e-08,305196.6912572132,3.01193872809034e-08
2011-01-01 19:49:00,149.7,0.0,0.0,0.00027459881803659596,1469.901095902819,3.366283325658734e-05,9.009780979105358e-08,303649.4272066054,3.052093827610216e-08
2011-01-01 19:50:00,149.3,0.0,0.0,0.000278123601536482,1464.301410877758,3.3563874425813696e-05,9.123614690513105e-08,302108.0575646357,3.090655382965144e-08
2011-01-01 19:51:00,145.8,0.0,0.0,0.00027901862794826263,1537.9015048527049,3.364192225052314e-05,9.179797888130749e-08,300489.21414034953,3.109687631480606e-08
2011-01-01 19:52:00,146.0,0.0,0.0,0.000277191366860329,1499.0029232781153,3.3649839789472496e-05,9.07538117867423e-08,298911.31658970437,3.07431611743707e-08
2011-01-01 19:53:00,144.4,0.0,0.0,0.0002765577364560552,1487.0001790548185,3.3598744087077306e-05,8.950251177486495e-08,297346.0535060607,3.031927905652607e-08
2011-01-01 19:54:00,148.1,0.0,0.0,0.00027659042781254944,1408.4014908185225,3.366884104593536e-05,9.122183996422905e-08,295863.5258837495,3.090170730495564e-08
2011-01-01 19:55:00,148.4,0.0,0.0,0.0002798822563162334,1389.002020448873,3.356963396302834e-05,9.41992152855023e-08,294401.41875969147,3.1910303280996715e-08
2011-01-01 19:56:00,151.6,0.0,0.0,0.0002807268043772855,1411.302319074952,3.364728607641124e-05,9.656062877153263e-08,292915.8376378013,3.2710240098757666e-08
2011-01-01 19:57:00,153.0,0.0,0.0,0.00027854172430163797,1421.104478692435,3.3652135521086556e-05,9.436603698161667e-08,291419.93845116073,3.196681469566961e-08
2011-01-01 19:58:00,155.1,0.0,0.0,0.00027769601565817443,1437.203438808403,3.3595431846423034e-05,9.445939694911375e-08,289907.09298991045,3.1998440700919295e-08
2011-01-01 19:59:00,154.9,0.0,0.0,0.00027759798132011553,1485.2856558471342,3.3655121306267456e-05,9.440574144980061e-08,288343.6346685263,3.198026471876715e-08
