,Lost_Load 1,PV_Energy 1,Battery_Flow_Out 1,Battery_Flow_in 1,Curtailment 1,Energy_Demand 1,SOC 1,Gen energy 1,Diesel 1
2011-01-01 23:00:00,9.59460378657e-06,0.0,0.00011440963924,0.000121925385868,0.000451495146507,85.4,0.000747241904154,85.412805105,0.0287875986198
2011-01-02 00:00:00,9.31731794662e-06,0.0,0.000113167365427,0.000124277929552,0.00042663000373,86.4,0.000746182394674,86.4109949205,0.0291240292957
2011-01-02 01:00:00,1.01570213432e-05,0.0,0.000113299710559,0.000124444272008,0.000421972091956,87.1,0.000745141599862,87.1171869473,0.0293620448087
2011-01-02 02:00:00,9.30448198464e-06,0.0,0.000113410820903,0.000124326966948,0.000457388763678,84.1,0.000743872406985,84.1417622888,0.0283592053552
2011-01-02 03:00:00,8.65241654032e-06,0.0,0.000113989901542,0.000123852791015,0.000426011923395,82.4,0.000741543188405,82.4800227112,0.0277991313486
2011-01-02 04:00:00,7.9238099983e-06,0.0,0.000116047355635,0.000121697101868,0.000271919206071,79.0,0.000735000323985,79.3091113688,0.0267304049103
2011-01-02 05:00:00,7.52417154729e-06,0.0,0.000116525449875,0.000121765490119,0.000269523700453,78.5,0.000728019171309,78.8062203131,0.0265609101157
2011-01-02 06:00:00,7.57192480691e-06,0.0,0.000108478321511,0.000130402292529,0.000429687314679,75.6,0.000737713642358,75.9203010668,0.0255882376363
2011-01-02 07:00:00,7.13972026224e-06,0.0,0.00010904989586,0.000130160058298,0.000486039929129,73.9,0.000746576333678,74.2219845829,0.0250158357206
2011-01-02 08:00:00,6.83109874899e-06,0.0,0.000111516630784,0.000127900006851,0.000469496531863,68.3,0.000750695413045,68.3262667093,0.0230287383584
2011-01-02 09:00:00,6.48546385604e-06,0.0,0.000112212811188,0.000127379375663,0.000424201502113,63.3,0.000753587071306,63.3193288522,0.0213411961079
2011-01-02 10:00:00,6.31678544348e-06,0.0,0.000114103913209,0.000125743036412,0.000412248424958,61.9,0.000752933573571,61.9181269312,0.0208689339168
2011-01-02 11:00:00,6.50188046672e-06,0.0,0.000114430491097,0.000125650379216,0.00043543423407,58.1,0.000751848285303,58.1189369926,0.0195884519692
2011-01-02 12:00:00,6.40996874169e-06,0.0,0.000116111332581,0.000124187796786,0.000429538868822,58.8,0.000747604236902,58.8199521927,0.0198247226804
