,Demand,Lost Load,Curtailment,Electric resistance consumption,RES production,BESS outflow,BESS inflow,Genset production,Diesel consumption,BESS state of charge
2017-01-07 12:50:00,86.663,0.0,0.0001248869604921765,518.6052941523793,3.154326729220897e-08,1.2756539519679201e-05,1.4145983119933031e-05,605.2684203972401,3.4172787962807143,8.539787982930512e-05
2017-01-07 12:51:00,88.785,0.0,0.00012093137914348517,419.6752779629623,3.154326729220897e-08,1.2758670879326351e-05,1.414341808568748e-05,508.46040024754535,2.870711383511435,8.539800088535278e-05
2017-01-07 12:52:00,87.767,0.0,0.00012348579903687096,485.8482888161518,3.154326729220897e-08,1.2749126373747454e-05,1.4152458696452047e-05,573.6154136737399,3.238569408727077,8.539841259762998e-05
2017-01-07 12:53:00,89.965,0.0,0.0001241087380492445,496.5852910924609,3.154326729220897e-08,1.2743352455326382e-05,1.4157761614512444e-05,586.5504165840648,3.311599009620962,8.539900956959087e-05
2017-01-07 12:54:00,91.984,0.0,0.00012410548623620343,493.6792909128112,3.154326729220897e-08,1.2738591449918974e-05,1.4162055192963336e-05,585.6634164102179,3.3065911043937324,8.539975804962123e-05
2017-01-07 12:55:00,92.266,0.0,0.00012443502987480315,502.84629676243173,3.154326729220897e-08,1.2751613457648693e-05,1.415039944934371e-05,595.1124225647044,3.359939151788078,8.540009352410166e-05
2017-01-07 12:56:00,90.215,0.0,0.00012751679793154835,567.0813120863286,3.154326729220897e-08,1.2742610245126615e-05,1.41589693864162e-05,657.2964409879423,3.7110232666437577,8.540074257459084e-05
2017-01-07 12:57:00,89.2,0.0,0.0001294313560720184,605.482335615044,3.154326729220897e-08,1.2735443967974193e-05,1.4165761180399321e-05,694.682466445174,3.9221006461448398,8.540160495173708e-05
2017-01-07 12:58:00,89.296,0.0,0.0001279594871448353,580.2433298828457,3.154326729220897e-08,1.2732136299276877e-05,1.4168540210329327e-05,669.5394592471935,3.7801459984597643,8.540256935946594e-05
2017-01-07 12:59:00,90.807,0.0,0.00012757033184129796,567.7473162598765,3.154326729220897e-08,1.272818067884411e-05,1.4172013100382337e-05,658.5544452424974,3.7181258200231335,8.540365815147034e-05
2017-01-07 13:00:00,88.315,0.0,0.00012755648532447594,563.4473152537338,3.104730397000443e-08,1.2741108971119379e-05,1.416044919682496e-05,651.7624441985121,3.6797789306600728,8.54043370361899e-05
2017-01-07 13:01:00,89.219,0.0,0.00013209098983679723,637.7713421810836,3.104730397000443e-08,1.273192070780295e-05,1.4169392010101537e-05,726.9904756784973,4.104508105682573,8.540533864730139e-05
2017-01-07 13:02:00,86.245,0.0,0.0001323257909007225,647.0503540066368,3.104730397000443e-08,1.2726708593472106e-05,1.4174164763140675e-05,733.2954877488366,4.140105508970397,8.540648733335863e-05
2017-01-07 13:03:00,85.74,0.0,0.00013207902514977832,642.5303468425516,3.104730397000443e-08,1.2722364735783627e-05,1.417803336608691e-05,728.2704803461982,4.111734870969953,8.540777348032547e-05
2017-01-07 13:04:00,85.129,0.0,0.00013040929638918897,616.5743345599582,3.104730397000443e-08,1.2719190877853899e-05,1.4180659808574886e-05,701.7034663996762,3.96174043811922,8.540915689434977e-05
2017-01-07 13:05:00,82.648,0.0,0.00013339635279407958,665.4603538704696,3.104730397000443e-08,1.2730520414494344e-05,1.417086699223493e-05,748.1084886761217,4.223738079698068,8.541018649164798e-05
2017-01-07 13:06:00,85.624,0.0,0.00013589856447993043,691.1293558470109,3.104730397000443e-08,1.2724447502488172e-05,1.4176627264481318e-05,776.7534931667078,4.385464618149886,8.541143376982095e-05
2017-01-07 13:07:00,85.769,0.0,0.00013337910905875106,660.3683518667267,3.104730397000443e-08,1.2721159452180235e-05,1.4179316977619514e-05,746.137486672946,4.212610019607871,8.541276138596343e-05
2017-01-07 13:08:00,85.7,0.0,0.0001268396911768832,555.7633266741266,3.104730397000443e-08,1.2722344904258966e-05,1.4177385200961606e-05,641.4634549378108,3.62163197232278,8.541403761823727e-05
2017-01-07 13:09:00,84.355,0.0,0.00012732132512383032,570.4463624351098,3.104730397000443e-08,1.2716786625552095e-05,1.4182504136681139e-05,654.8014911911051,3.696937055053665,8.54154924139882e-05
2017-01-07 13:10:00,82.309,0.0,0.00013401174487626122,620.5043721710899,2.737717538569081e-08,1.2717619046016685e-05,1.4183320843345025e-05,702.8135076211595,3.9680076085205482,8.541694553706016e-05
2017-01-07 13:11:00,80.939,0.0,0.0001341800414138561,621.0003480031553,2.737717538569081e-08,1.2713107457038193e-05,1.418737991948837e-05,701.9394836300919,3.9630729653912145,8.541856201376421e-05
2017-01-07 13:12:00,81.664,0.0,0.00012991375729143328,554.3963329181504,2.737717538569081e-08,1.2712297002803003e-05,1.4187524422753627e-05,636.060464279758,3.5911272825189586,8.542017506268934e-05
2017-01-07 13:13:00,79.947,0.0,0.00013654656987682756,659.533807989332,2.737717538569081e-08,1.2701110890398805e-05,1.4198655185754814e-05,739.480946006069,4.175027924605177,8.542216059628136e-05
2017-01-07 13:14:00,78.339,0.0,0.00013936790548996214,694.5098192139349,2.737717538569081e-08,1.2694538997107306e-05,1.4204971066071603e-05,772.8489600648953,4.363420054566934,8.542436142768527e-05
2017-01-07 13:15:00,80.111,0.0,0.00013222223202546957,598.7753747072535,2.737717538569081e-08,1.2714198736634612e-05,1.4186219863371015e-05,678.8865083741294,3.8329184077130165,8.542592045733541e-05
2017-01-07 13:16:00,80.048,0.0,0.0001325761274983961,603.8423758822541,2.737717538569081e-08,1.2709198863051965e-05,1.419079030896375e-05,683.8905099125959,3.8611704489193537,8.542765950370098e-05
2017-01-07 13:17:00,79.808,0.0,0.00013390288552272978,622.8653803230429,2.737717538569081e-08,1.2703365291983704e-05,1.4196251927100665e-05,702.673515691438,3.9672172295135386,8.542956743479263e-05
2017-01-07 13:18:00,81.548,0.0,0.00012996451380331564,559.7523677080683,2.737717538569081e-08,1.2702429836733767e-05,1.419653667811987e-05,641.3004991393117,3.620711941843449,8.543149628593771e-05
2017-01-07 13:19:00,82.937,0.0,0.00012840806158465057,534.9792668306675,2.737717538569081e-08,1.2699223817944126e-05,1.4199265751560844e-05,617.9163967113939,3.488687876645178,8.543352459335594e-05
2017-01-07 13:20:00,85.693,0.0,0.00012983770784558146,580.7271726881438,2.7575560714572628e-08,1.2715989554379793e-05,1.4183983520523564e-05,666.42030396627,3.7625355914988146,8.543501679638915e-05
2017-01-07 13:21:00,83.433,0.0,0.00012718916082121723,511.8103595498259,2.7575560714572628e-08,1.271067962902838e-05,1.4188719402262202e-05,595.2434881894509,3.360679133860947,8.543669707504199e-05
2017-01-07 13:22:00,83.923,0.0,0.00012736293336956805,509.33332794140335,2.7575560714572628e-08,1.2705996985079354e-05,1.4192953838316818e-05,593.256456763718,3.349460573417559,8.543850661634026e-05
2017-01-07 13:23:00,82.739,0.0,0.00012845106658687655,530.3593322666168,2.7575560714572628e-08,1.269997184245343e-05,1.4198549635186962e-05,613.0984621886856,3.461486349303781,8.544051046201224e-05
2017-01-07 13:24:00,84.199,0.0,0.00013387020368327285,618.7903799752924,2.7575560714572628e-08,1.2689693227843808e-05,1.420861784438279e-05,702.9895153368451,3.9690013286858914,8.544285404756859e-05
2017-01-07 13:25:00,85.633,0.0,0.0001304517699054486,565.8053687064881,2.7575560714572628e-08,1.2706825031180442e-05,1.4192683878515994e-05,651.4385006165413,3.677949980897365,8.544464478737877e-05
2017-01-07 13:26:00,83.543,0.0,0.00012807973735107225,527.5383615149358,2.7575560714572628e-08,1.2704858050959379e-05,1.4194157373512584e-05,611.0814910563969,3.4500987525767663,8.54465133001954e-05
2017-01-07 13:27:00,81.823,0.0,0.00012536128559759163,475.23035277569846,2.7575560714572628e-08,1.270396450258021e-05,1.4194578661859891e-05,557.0534796000227,3.14506255420067,8.544838422545415e-05
2017-01-07 13:28:00,83.096,0.0,0.0001311873471081526,581.7631536343804,2.7575560714572628e-08,1.2691515302770944e-05,1.4206703015807792e-05,664.8592863093397,3.753722257844059,8.54506655266646e-05
2017-01-07 13:29:00,83.539,0.0,0.00013098217658580324,577.5691525557523,2.7575560714572628e-08,1.268708132248558e-05,1.4210681797975893e-05,661.1082850339538,3.7325445180327113,8.545308761438719e-05
2017-01-07 13:30:00,80.426,0.0,0.0001610411285923874,596.5255344786581,2.6980404727927178e-08,1.2672499402178062e-05,1.422937066288617e-05,676.9516970496775,3.8219946762063994,8.54560614323008e-05
2017-01-07 13:31:00,83.628,0.0,0.00017079893041227479,650.8995505829491,2.6980404727927178e-08,1.266002811507001e-05,1.4242440456307308e-05,734.5277229373115,4.147062573042635,8.545948091736264e-05
2017-01-07 13:32:00,82.178,0.0,0.00016438031133247932,615.065441803771,2.6980404727927178e-08,1.2659046865655171e-05,1.4242294876071508e-05,697.24360774035,3.9365605676397357,8.546289537806438e-05
2017-01-07 13:33:00,81.725,0.0,0.00016679793901630546,629.7924549870008,2.6980404727927178e-08,1.2652294282560492e-05,1.4248853421218585e-05,711.5176233545186,4.01715008668992,8.546653214876769e-05
2017-01-07 13:34:00,82.685,0.0,0.00015986596343964266,599.3343179315895,2.6980404727927178e-08,1.2656276345751399e-05,1.4244090721994866e-05,682.0194793583869,3.8506068166123923,8.547002364930889e-05
2017-01-07 13:35:00,80.793,0.0,0.00013086883302548813,594.1441765596547,2.6980404727927178e-08,1.2699503840245046e-05,1.4199283913983798e-05,674.9373089012875,3.810621662721813,8.547204733162687e-05
2017-01-07 13:36:00,80.997,0.0,0.00013249525949277086,617.6441796752513,2.6980404727927178e-08,1.2693338811590365e-05,1.4205088816726967e-05,698.6413136552804,3.9444518611973827,8.547429101754226e-05
2017-01-07 13:37:00,80.155,0.0,0.0001347885527707149,628.4171838270906,2.6980404727927178e-08,1.268191983983479e-05,1.4216058815098246e-05,708.572320122802,4.000521229238945,8.54768887936965e-05
2017-01-07 13:38:00,80.851,0.0,0.00013667282490814614,651.3871872470047,2.6980404727927178e-08,1.2675603879743706e-05,1.4222033235450132e-05,732.2383254392786,4.134136887078131,8.547969197115704e-05
2017-01-07 13:39:00,79.636,0.0,0.00013500317839998388,650.1911821620957,2.6980404727927178e-08,1.2667318800333848e-05,1.4230076333004429e-05,729.8273187010512,4.1205246087457725,8.548276784993251e-05
2017-01-07 13:40:00,79.657,0.0,0.00012917124553268877,584.0711731106808,2.8170716701218078e-08,1.2690436746878994e-05,1.4207889109773674e-05,663.728303771208,3.747336855076829,8.548508685299729e-05
2017-01-07 13:41:00,81.029,0.0,0.00012914984836243093,581.6951729712991,2.8170716701218078e-08,1.2688930180492376e-05,1.4208892694302089e-05,662.7243036129394,3.741668380831862,8.54874681113862e-05
2017-01-07 13:42:00,81.394,0.0,0.00012754475102383367,529.2503693320834,2.8170716701218078e-08,1.2686535418050425e-05,1.421068845965513e-05,610.6444983728168,3.4476315400452617,8.548989988185617e-05
