,Demand,Lost Load,Electric resistance production,Curtailment
2017-01-07 03:33:00,0.0,0.0,0.0,0.0
2017-01-07 03:34:00,0.0,0.0,0.0,0.0
2017-01-07 03:35:00,0.0,0.0,0.0,0.0
2017-01-07 03:36:00,0.0,0.0,0.0,0.0
2017-01-07 03:37:00,0.0,0.0,0.0,0.0
2017-01-07 03:38:00,12.056,7.050265256208392e-07,12.056134068639247,0.00013477366577419048
2017-01-07 03:39:00,12.056,7.044019241817472e-07,12.05614423576729,0.00014494016921418051
2017-01-07 03:40:00,12.056,7.044016115141172e-07,12.05614429008873,0.0001449944903413325
2017-01-07 03:41:00,12.056,7.041048921062435e-07,12.056128937545303,0.0001296416501954667
2017-01-07 03:42:00,12.056,7.040507907679524e-07,12.056129530750924,0.0001302348017162558
2017-01-07 03:43:00,12.056,7.040486013183895e-07,12.05612951296696,0.00013021701556148457
2017-01-07 03:44:00,12.056,7.0402136693227e-07,12.05612972047023,0.00013042449159783587
2017-01-07 03:45:00,0.0,0.0,0.0,0.0
2017-01-07 03:46:00,0.0,0.0,0.0,0.0
2017-01-07 03:47:00,0.0,0.0,0.0,0.0
2017-01-07 03:48:00,0.0,0.0,0.0,0.0
2017-01-07 03:49:00,0.0,0.0,0.0,0.0
2017-01-07 03:50:00,0.0,0.0,0.0,0.0
2017-01-07 03:51:00,0.0,0.0,0.0,0.0
2017-01-07 03:52:00,0.0,0.0,0.0,0.0
2017-01-07 03:53:00,0.0,0.0,0.0,0.0
2017-01-07 03:54:00,0.0,0.0,0.0,0.0
2017-01-07 03:55:00,0.0,0.0,0.0,0.0
2017-01-07 03:56:00,0.0,0.0,0.0,0.0
2017-01-07 03:57:00,0.0,0.0,0.0,0.0
2017-01-07 03:58:00,0.0,0.0,0.0,0.0
2017-01-07 03:59:00,0.0,0.0,0.0,0.0
2017-01-07 04:00:00,0.0,0.0,0.0,0.0
2017-01-07 04:01:00,0.0,0.0,0.0,0.0
2017-01-07 04:02:00,0.0,0.0,0.0,0.0
2017-01-07 04:03:00,0.0,0.0,0.0,0.0
2017-01-07 04:04:00,0.0,0.0,0.0,0.0
2017-01-07 04:05:00,0.0,0.0,0.0,0.0
2017-01-07 04:06:00,0.0,0.0,0.0,0.0
2017-01-07 04:07:00,0.0,0.0,0.0,0.0
2017-01-07 04:08:00,0.0,0.0,0.0,0.0
2017-01-07 04:09:00,0.0,0.0,0.0,0.0
2017-01-07 04:10:00,0.0,0.0,0.0,0.0
2017-01-07 04:11:00,0.0,0.0,0.0,0.0
2017-01-07 04:12:00,0.0,0.0,0.0,0.0
2017-01-07 04:13:00,0.0,0.0,0.0,0.0
2017-01-07 04:14:00,0.0,0.0,0.0,0.0
2017-01-07 04:15:00,0.0,0.0,0.0,0.0
2017-01-07 04:16:00,0.0,0.0,0.0,0.0
2017-01-07 04:17:00,0.0,0.0,0.0,0.0
2017-01-07 04:18:00,12.329,7.04830448925242e-07,12.329137077354826,0.00013778218527349395
2017-01-07 04:19:00,12.329,7.048851339280923e-07,12.32913584312305,0.00013654800818230228
2017-01-07 04:20:00,12.329,7.048759478433381e-07,12.329135940402823,0.00013664527877033095
2017-01-07 04:21:00,12.329,7.048716468753633e-07,12.329135956108205,0.00013666097985165493
2017-01-07 04:22:00,12.329,7.048570198441554e-07,12.32913610061056,0.000136805467578327
2017-01-07 04:23:00,12.329,7.043046936213657e-07,12.329145488180338,0.00014619248502967253
2017-01-07 04:24:00,12.329,7.043031204361259e-07,12.329145443686855,0.00014614798997492073
2017-01-07 04:25:00,12.329,7.043021873746636e-07,12.329145505067705,0.00014620936989295785
2017-01-07 04:26:00,12.329,7.048473560848878e-07,12.329136090549254,0.00013679539660849116
2017-01-07 04:27:00,12.329,7.047837200783893e-07,12.32913742280138,0.0001381275850995678
2017-01-07 04:28:00,12.329,7.047670849012262e-07,12.329137832902607,0.00013853766969162962
2017-01-07 04:29:00,12.329,7.047225980619785e-07,12.329138213734188,0.0001389184567859303
2017-01-07 04:30:00,12.329,7.048251156769269e-07,12.329136472259183,0.00013717708429794584
2017-01-07 04:31:00,12.329,7.047159283015856e-07,12.32913827189889,0.00013897661481721002
2017-01-07 04:32:00,0.0,0.0,0.0,0.0
2017-01-07 04:33:00,0.0,0.0,0.0,0.0
2017-01-07 04:34:00,0.0,0.0,0.0,0.0
2017-01-07 04:35:00,0.0,0.0,0.0,0.0
2017-01-07 04:36:00,0.0,0.0,0.0,0.0
2017-01-07 04:37:00,0.0,0.0,0.0,0.0
2017-01-07 04:38:00,0.0,0.0,0.0,0.0
2017-01-07 04:39:00,0.0,0.0,0.0,0.0
2017-01-07 04:40:00,0.0,0.0,0.0,0.0
2017-01-07 04:41:00,0.0,0.0,0.0,0.0
2017-01-07 04:42:00,0.0,0.0,0.0,0.0
2017-01-07 04:43:00,0.0,0.0,0.0,0.0
2017-01-07 04:44:00,0.0,0.0,0.0,0.0
2017-01-07 04:45:00,0.0,0.0,0.0,0.0
2017-01-07 04:46:00,0.0,0.0,0.0,0.0
2017-01-07 04:47:00,0.0,0.0,0.0,0.0
2017-01-07 04:48:00,0.0,0.0,0.0,0.0
2017-01-07 04:49:00,0.0,0.0,0.0,0.0
2017-01-07 04:50:00,0.0,0.0,0.0,0.0
2017-01-07 04:51:00,5.236,7.081465714582115e-07,5.236053141446479,5.3849593050436795e-05
2017-01-07 04:52:00,5.236,7.081395436651369e-07,5.2360532056812055,5.391382074915185e-05
2017-01-07 04:53:00,0.0,0.0,0.0,0.0
2017-01-07 04:54:00,0.0,0.0,0.0,0.0
2017-01-07 04:55:00,0.0,0.0,0.0,0.0
2017-01-07 04:56:00,0.0,0.0,0.0,0.0
2017-01-07 04:57:00,0.0,0.0,0.0,0.0
2017-01-07 04:58:00,0.0,0.0,0.0,0.0
2017-01-07 04:59:00,0.0,0.0,0.0,0.0
2017-01-07 05:00:00,0.0,0.0,0.0,0.0
2017-01-07 05:01:00,0.0,0.0,0.0,0.0
2017-01-07 05:02:00,0.0,0.0,0.0,0.0
2017-01-07 05:03:00,0.0,0.0,0.0,0.0
2017-01-07 05:04:00,0.0,0.0,0.0,0.0
2017-01-07 05:05:00,0.0,0.0,0.0,0.0
2017-01-07 05:06:00,0.0,0.0,0.0,0.0
2017-01-07 05:07:00,0.0,0.0,0.0,0.0
2017-01-07 05:08:00,0.0,0.0,0.0,0.0
2017-01-07 05:09:00,0.0,0.0,0.0,0.0
2017-01-07 05:10:00,0.0,0.0,0.0,0.0
2017-01-07 05:11:00,0.0,0.0,0.0,0.0
2017-01-07 05:12:00,0.0,0.0,0.0,0.0
2017-01-07 05:13:00,0.0,0.0,0.0,0.0
2017-01-07 05:14:00,0.0,0.0,0.0,0.0
2017-01-07 05:15:00,0.0,0.0,0.0,0.0
2017-01-07 05:16:00,0.0,0.0,0.0,0.0
2017-01-07 05:17:00,0.0,0.0,0.0,0.0
2017-01-07 05:18:00,0.0,0.0,0.0,0.0
2017-01-07 05:19:00,0.0,0.0,0.0,0.0
2017-01-07 05:20:00,0.0,0.0,0.0,0.0
2017-01-07 05:21:00,0.0,0.0,0.0,0.0
2017-01-07 05:22:00,0.0,0.0,0.0,0.0
2017-01-07 05:23:00,0.0,0.0,0.0,0.0
2017-01-07 05:24:00,0.0,0.0,0.0,0.0
2017-01-07 05:25:00,0.0,0.0,0.0,0.0
2017-01-07 05:26:00,0.0,0.0,0.0,0.0
2017-01-07 05:27:00,0.0,0.0,0.0,0.0
2017-01-07 05:28:00,0.0,0.0,0.0,0.0
2017-01-07 05:29:00,0.0,0.0,0.0,0.0
2017-01-07 05:30:00,0.0,0.0,0.0,0.0
2017-01-07 05:31:00,0.0,0.0,0.0,0.0
2017-01-07 05:32:00,0.0,0.0,0.0,0.0
2017-01-07 05:33:00,0.0,0.0,0.0,0.0
2017-01-07 05:34:00,0.0,0.0,0.0,0.0
2017-01-07 05:35:00,0.0,0.0,0.0,0.0
2017-01-07 05:36:00,0.0,0.0,0.0,0.0
2017-01-07 05:37:00,0.0,0.0,0.0,0.0
2017-01-07 05:38:00,0.0,0.0,0.0,0.0
2017-01-07 05:39:00,12.214,7.046111709012673e-07,12.214137482765507,0.00013818737667747882
2017-01-07 05:40:00,12.214,7.046151618366842e-07,12.214137482546342,0.00013818716150382215
2017-01-07 05:41:00,0.0,0.0,0.0,0.0
2017-01-07 05:42:00,0.0,0.0,0.0,0.0
2017-01-07 05:43:00,0.0,0.0,0.0,0.0
2017-01-07 05:44:00,0.0,0.0,0.0,0.0
2017-01-07 05:45:00,0.0,0.0,0.0,0.0
2017-01-07 05:46:00,0.0,0.0,0.0,0.0
2017-01-07 05:47:00,0.0,0.0,0.0,0.0
2017-01-07 05:48:00,0.0,0.0,0.0,0.0
2017-01-07 05:49:00,0.0,0.0,0.0,0.0
2017-01-07 05:50:00,0.0,0.0,0.0,0.0
2017-01-07 05:51:00,0.0,0.0,0.0,0.0
2017-01-07 05:52:00,0.0,0.0,0.0,0.0
2017-01-07 05:53:00,0.0,0.0,0.0,0.0
2017-01-07 05:54:00,0.0,0.0,0.0,0.0
2017-01-07 05:55:00,0.0,0.0,0.0,0.0
2017-01-07 05:56:00,0.0,0.0,0.0,0.0
2017-01-07 05:57:00,0.0,0.0,0.0,0.0
2017-01-07 05:58:00,0.0,0.0,0.0,0.0
2017-01-07 05:59:00,0.0,0.0,0.0,0.0
2017-01-07 06:00:00,0.0,0.0,0.0,0.0
2017-01-07 06:01:00,0.0,0.0,0.0,0.0
2017-01-07 06:02:00,0.0,0.0,0.0,0.0
2017-01-07 06:03:00,0.0,0.0,0.0,0.0
2017-01-07 06:04:00,0.0,0.0,0.0,0.0
2017-01-07 06:05:00,0.0,0.0,0.0,0.0
2017-01-07 06:06:00,0.0,0.0,0.0,0.0
2017-01-07 06:07:00,0.0,0.0,0.0,0.0
